id_geografia,codigo_provincia,provincia,codigo_canton,canton,zona,subzona,distrito,circuito,subcircuito
115,1,AZUAY,115,CAMILO PONCE ENRÍQUEZ,ZONA 6,AZUAY,PONCE ENRÍQUEZ,CAMILO PONCE ENRÍQUEZ,CAMILO PONCE ENRÍQUEZ 1
111,1,AZUAY,111,CHORDELEG,ZONA 6,AZUAY,GUALACEO,CHORDELEG,CHORDELEG 1
101,1,AZUAY,101,CUENCA,ZONA 6,AZUAY,CUENCA SUR,CAYAMBE,CAYAMBE 2
203,2,BOLÍVAR,203,CHIMBO,ZONA 5,BOLÍVAR,SAN MIGUEL,CHIMBO,CHIMBO 1
201,2,BOLÍVAR,201,GUARANDA,ZONA 5,BOLÍVAR,GUARANDA,SAN LUIS,SAN LUIS 1
207,2,BOLÍVAR,207,LAS NAVES,ZONA 5,BOLÍVAR,SUBTRÓPICO,LAS NAVES,LAS NAVES 1
402,4,CARCHI,402,BOLÍVAR,ZONA 1,CARCHI,MONTÚFAR,BOLÍVAR,BOLÍVAR 1
405,4,CARCHI,405,MONTÚFAR,ZONA 1,CARCHI,MONTÚFAR,SAN GABRIEL SUR,SAN GABRIEL SUR 1
401,4,CARCHI,401,TULCÁN,ZONA 1,CARCHI,TULCÁN,CHICAL,CHICAL 1
301,3,CAÑAR,301,AZOGUES,ZONA 6,CAÑAR,AZOGUES,AZOGUES SUR,AZOGUES SUR 1
303,3,CAÑAR,303,CAÑAR,ZONA 6,CAÑAR,CAÑAR,CAÑAR,CAÑAR 1
304,3,CAÑAR,304,LA TRONCAL,ZONA 6,CAÑAR,LA TRONCAL,TRONCAL OESTE,TRONCAL OESTE 3
607,6,CHIMBORAZO,607,GUANO,ZONA 3,CHIMBORAZO,GUANO,GUANO,GUANO 1
601,6,CHIMBORAZO,601,RIOBAMBA,ZONA 3,CHIMBORAZO,RIOBAMBA,LA ESTACIÓN,LA ESTACIÓN 2
502,5,COTOPAXI,502,LA MANÁ,ZONA 3,COTOPAXI,LA MANÁ,LA MANÁ SUR,LA MANÁ SUR 1
501,5,COTOPAXI,501,LATACUNGA,ZONA 3,COTOPAXI,LATACUNGA,GUAYTACAMA,GUAYTACAMA 2
503,5,COTOPAXI,503,PANGUA,ZONA 3,COTOPAXI,PANGUA,MORASPUNGO,MORASPUNGO 1
504,5,COTOPAXI,504,PUJILÍ,ZONA 3,COTOPAXI,DANSANTE,LA ESPERANZA,LA ESPERANZA 1
505,5,COTOPAXI,505,SALCEDO,ZONA 3,COTOPAXI,SALCEDO,CUSUBAMBA,CUSUBAMBA 1
507,5,COTOPAXI,507,SIGCHOS,ZONA 3,COTOPAXI,SIGCHOS,SIGCHOS,SIGCHOS 1
702,7,EL ORO,702,ARENILLAS,ZONA 7,EL ORO,HUAQUILLAS,ARENILLAS,ARENILLAS 1
705,7,EL ORO,705,CHILLA,ZONA 7,EL ORO,PASAJE,CHILLA,CHILLA 1
706,7,EL ORO,706,EL GUABO,ZONA 7,EL ORO,PASAJE,LA IBERIA,LA IBERIA 1
707,7,EL ORO,707,HUAQUILLAS,ZONA 7,EL ORO,HUAQUILLAS,UNIÓN LOJANA,UNIÓN LOJANA 2
701,7,EL ORO,701,MACHALA,ZONA 7,EL ORO,MACHALA,LAS KATYAS,LAS KATYAS 3
709,7,EL ORO,709,PASAJE,ZONA 7,EL ORO,PASAJE,LAS PRADERAS,LAS PRADERAS 1
710,7,EL ORO,710,PIÑAS,ZONA 7,EL ORO,PIÑAS,SAN ROQUE,SAN ROQUE 1
711,7,EL ORO,711,PORTOVELO,ZONA 7,EL ORO,ZARUMA,PORTOVELO,PORTOVELO 1
712,7,EL ORO,712,SANTA ROSA,ZONA 7,EL ORO,SANTA ROSA,SANTA ROSA OESTE,SANTA ROSA OESTE 1
713,7,EL ORO,713,ZARUMA,ZONA 7,EL ORO,ZARUMA,ZARUMA,ZARUMA 1
806,8,ESMERALDAS,806,ATACAMES,ZONA 1,ESMERALDAS,ATACAMES,TONSUPA,TONSUPA 1
802,8,ESMERALDAS,802,ELOY ALFARO,ZONA 1,ESMERALDAS,ELOY ALFARO - ESM,ANCHAYACU,ANCHAYACU 2
801,8,ESMERALDAS,801,ESMERALDAS,ZONA 1,ESMERALDAS,ESMERALDAS,VALLE HERMOSO,VALLE HERMOSO 2
803,8,ESMERALDAS,803,MUISNE,ZONA 1,ESMERALDAS,ATACAMES,MUISNE,MUISNE 1
804,8,ESMERALDAS,804,QUININDÉ,ZONA 1,ESMERALDAS,QUININDÉ,QUININDÉ,QUININDÉ 1
807,8,ESMERALDAS,807,RIOVERDE,ZONA 1,ESMERALDAS,RÍO VERDE,PALESTINA,PALESTINA 2
805,8,ESMERALDAS,805,SAN LORENZO,ZONA 1,ESMERALDAS,SAN LORENZO,FRONTERA,FRONTERA 3
902,9,GUAYAS,902,ALFREDO BAQUERIZO MORENO (JUJÁN),ZONA 5,GUAYAS,JUJAN SIMÓN BOLÍVAR,JUJAN OESTE,JUJAN OESTE 1
903,9,GUAYAS,903,BALAO,ZONA 5,GUAYAS,NARANJAL BALAO,SAN CARLOS,SAN CARLOS 1
904,9,GUAYAS,904,BALZAR,ZONA 5,GUAYAS,BALZAR,LA GUAYAQUIL,LA GUAYAQUIL 1
905,9,GUAYAS,905,COLIMES,ZONA 5,GUAYAS,BALZAR,SAN JACINTO,SAN JACINTO 1
923,9,GUAYAS,923,CORONEL MARCELINO MARIDUEÑA,ZONA 5,GUAYAS,NARANJITO MARCELINO MARIDUEÑA,MARCELINO MARIDUEÑA,MARCELINO MARIDUEÑA 1
906,9,GUAYAS,906,DAULE,ZONA 5,GUAYAS,DAULE,JUAN BAUTISTA AGUIRRE,JUAN BAUTISTA AGUIRRE 2
907,9,GUAYAS,907,DURÁN,ZONA 8,D.M. GUAYAQUIL,DURÁN,CENTRO,CENTRO 2
908,9,GUAYAS,908,EL EMPALME,ZONA 5,GUAYAS,EMPALME,EMPALME SUROESTE,EMPALME SUROESTE 1
909,9,GUAYAS,909,EL TRIUNFO,ZONA 5,GUAYAS,EL TRIUNFO BUCAY,EL TRIUNFO CENTRO,EL TRIUNFO CENTRO 1
927,9,GUAYAS,927,GENERAL ANTONIO ELIZALDE,ZONA 5,GUAYAS,EL TRIUNFO BUCAY,BUCAY,BUCAY 1
901,9,GUAYAS,901,GUAYAQUIL,ZONA 8,D.M. GUAYAQUIL,PORTETE,BATALLÓN DEL SUBURBIO,BATALLÓN DEL SUBURBIO 1
928,9,GUAYAS,928,ISIDRO AYORA,ZONA 5,GUAYAS,PEDRO CARBO,ISIDRO AYORA,ISIDRO AYORA 1
924,9,GUAYAS,924,LOMAS DE SARGENTILLO,ZONA 5,GUAYAS,PEDRO CARBO,LOMAS DE SARGENTILLO,LOMAS DE SARGENTILLO 1
910,9,GUAYAS,910,MILAGRO,ZONA 5,GUAYAS,MILAGRO,VALDEZ,VALDEZ 1
911,9,GUAYAS,911,NARANJAL,ZONA 5,GUAYAS,NARANJAL BALAO,TAURA,TAURA 1
912,9,GUAYAS,912,NARANJITO,ZONA 5,GUAYAS,NARANJITO MARCELINO MARIDUEÑA,NARANJITO ESTE,NARANJITO ESTE 1
925,9,GUAYAS,925,NOBOL,ZONA 5,GUAYAS,DAULE,NOBOL,NOBOL 1
913,9,GUAYAS,913,PALESTINA,ZONA 5,GUAYAS,BALZAR,PALESTINA,PALESTINA 2
914,9,GUAYAS,914,PEDRO CARBO,ZONA 5,GUAYAS,PEDRO CARBO,ESTACADA,ESTACADA 2
921,9,GUAYAS,921,PLAYAS,ZONA 5,GUAYAS,PLAYAS,PLAYAS,PLAYAS 1
919,9,GUAYAS,919,SALITRE,ZONA 5,GUAYAS,SALITRE,SALITRE NORTE,SALITRE NORTE 1
916,9,GUAYAS,916,SAMBORONDÓN,ZONA 8,D.M. GUAYAQUIL,SAMBORONDÓN,TARIFA,TARIFA 1
920,9,GUAYAS,920,SAN JACINTO DE YAGUACHI,ZONA 5,GUAYAS,YAGUACHI,VIRGEN DE FÁTIMA,VIRGEN DE FÁTIMA 1
918,9,GUAYAS,918,SANTA LUCÍA,ZONA 5,GUAYAS,DAULE,PORVENIR,PORVENIR 1
922,9,GUAYAS,922,SIMÓN BOLÍVAR,ZONA 5,GUAYAS,JUJAN SIMÓN BOLÍVAR,LORENZO DE GARAICOA,LORENZO DE GARAICOA 1
1001,10,IMBABURA,1001,IBARRA,ZONA 1,IMBABURA,CIUDAD BLANCA,LITA,LITA 1
1004,10,IMBABURA,1004,OTAVALO,ZONA 1,IMBABURA,VALLE DEL AMANECER,SAN LUIS,SAN LUIS 1
1103,11,LOJA,1103,CATAMAYO,ZONA 7,LOJA,CATAMAYO,CATAMAYO NORTE,CATAMAYO NORTE 1
1105,11,LOJA,1105,CHAGUARPAMBA,ZONA 7,LOJA,CATAMAYO,BUENAVISTA,BUENAVISTA 1
1106,11,LOJA,1106,ESPÍNDOLA,ZONA 7,LOJA,ESPÍNDOLA,EL INGENIO,EL INGENIO 1
1107,11,LOJA,1107,GONZANAMÁ,ZONA 7,LOJA,CALVAS,CHANGAIMINA,CHANGAIMINA 1
1101,11,LOJA,1101,LOJA,ZONA 7,LOJA,LOJA,CHONTACRUZ,CHONTACRUZ 1
1108,11,LOJA,1108,MACARÁ,ZONA 7,LOJA,MACARÁ,MACARÁ,MACARÁ 2
1111,11,LOJA,1111,SARAGURO,ZONA 7,LOJA,SARAGURO,SARAGURO,SARAGURO 1
1202,12,LOS RÍOS,1202,BABA,ZONA 5,LOS RÍOS,BABAHOYO,BABA,BABA 1
1201,12,LOS RÍOS,1201,BABAHOYO,ZONA 5,LOS RÍOS,BABAHOYO,CARACOL,CARACOL 1
1210,12,LOS RÍOS,1210,BUENA FE,ZONA 5,LOS RÍOS,BUENA FE,BUENA FE ESTE,BUENA FE ESTE 1
1212,12,LOS RÍOS,1212,MOCACHE,ZONA 5,LOS RÍOS,QUEVEDO,AGUAS FRÍAS,AGUAS FRÍAS 1
1203,12,LOS RÍOS,1203,MONTALVO,ZONA 5,LOS RÍOS,BABAHOYO,LA ESMERALDA,LA ESMERALDA 2
1209,12,LOS RÍOS,1209,PALENQUE,ZONA 5,LOS RÍOS,VINCES,PALENQUE,PALENQUE 1
1204,12,LOS RÍOS,1204,PUEBLOVIEJO,ZONA 5,LOS RÍOS,PUEBLO VIEJO,SAN JUAN,SAN JUAN 2
1205,12,LOS RÍOS,1205,QUEVEDO,ZONA 5,LOS RÍOS,QUEVEDO,7 DE OCTUBRE,7 DE OCTUBRE 1
1213,12,LOS RÍOS,1213,QUINSALOMA,ZONA 5,LOS RÍOS,VENTANAS,QUINSALOMA,QUINSALOMA 1
1206,12,LOS RÍOS,1206,URDANETA,ZONA 5,LOS RÍOS,PUEBLO VIEJO,RICAURTE,RICAURTE 1
1211,12,LOS RÍOS,1211,VALENCIA,ZONA 5,LOS RÍOS,BUENA FE,EL VERGEL SUR,EL VERGEL SUR 1
1207,12,LOS RÍOS,1207,VENTANAS,ZONA 5,LOS RÍOS,VENTANAS,VENTANAS SUR,VENTANAS SUR 1
1208,12,LOS RÍOS,1208,VINCES,ZONA 5,LOS RÍOS,VINCES,AUGUSTO VALENCIA,AUGUSTO VALENCIA 1
1316,13,MANABÍ,1316,24 DE MAYO,ZONA 4,MANABÍ,24 DE MAYO,NOBOA,NOBOA 1
1302,13,MANABÍ,1302,BOLÍVAR,ZONA 4,MANABÍ,BOLÍVAR JUNÍN,CALCETA CENTRO,CALCETA CENTRO 1
1303,13,MANABÍ,1303,CHONE,ZONA 4,MANABÍ,CHONE,BEJUCO,BEJUCO 1
1304,13,MANABÍ,1304,EL CARMEN,ZONA 4,MANABÍ,EL CARMEN,EL CHAPARRAL,EL CHAPARRAL 1
1320,13,MANABÍ,1320,JAMA,ZONA 4,MANABÍ,PEDERNALES,JAMA,JAMA 1
1321,13,MANABÍ,1321,JARAMIJÓ,ZONA 4,MANABÍ,MANTA,JARAMIJO,JARAMIJO 2
1306,13,MANABÍ,1306,JIPIJAPA,ZONA 4,MANABÍ,JIPIJAPA,SAN VICENTE,SAN VICENTE 2
1307,13,MANABÍ,1307,JUNÍN,ZONA 4,MANABÍ,BOLÍVAR JUNÍN,JUNÍN SUR,JUNÍN SUR 1
1308,13,MANABÍ,1308,MANTA,ZONA 4,MANABÍ,MANTA,MARÍA AUXILIADORA,MARÍA AUXILIADORA 1
1309,13,MANABÍ,1309,MONTECRISTI,ZONA 4,MANABÍ,MANTA,LA FABRIL,LA FABRIL 2
1310,13,MANABÍ,1310,PAJÁN,ZONA 4,MANABÍ,PAJÁN,LASCANO,LASCANO 1
1317,13,MANABÍ,1317,PEDERNALES,ZONA 4,MANABÍ,PEDERNALES,PEDERNALES SUR,PEDERNALES SUR 1
1311,13,MANABÍ,1311,PICHINCHA,ZONA 4,MANABÍ,PICHINCHA,PICHINCHA,PICHINCHA 1
1301,13,MANABÍ,1301,PORTOVIEJO,ZONA 4,MANABÍ,PORTOVIEJO,EL FLORÓN,EL FLORÓN 1
1319,13,MANABÍ,1319,PUERTO LÓPEZ,ZONA 4,MANABÍ,JIPIJAPA,PUERTO LÓPEZ,PUERTO LÓPEZ 1
1312,13,MANABÍ,1312,ROCAFUERTE,ZONA 4,MANABÍ,ROCAFUERTE,ROCAFUERTE,ROCAFUERTE 2
1322,13,MANABÍ,1322,SAN VICENTE,ZONA 4,MANABÍ,SUCRE,SAN VICENTE,SAN VICENTE 2
1313,13,MANABÍ,1313,SANTA ANA,ZONA 4,MANABÍ,24 DE MAYO,SANTA ANA,SANTA ANA 1
1314,13,MANABÍ,1314,SUCRE,ZONA 4,MANABÍ,SUCRE,BAHÍA,BAHÍA 2
1315,13,MANABÍ,1315,TOSAGUA,ZONA 4,MANABÍ,ROCAFUERTE,JUNCO,JUNCO 1
1407,14,MORONA SANTIAGO,1407,HUAMBOYA,ZONA 6,MORONA SANTIAGO,SANGAY,HUAMBOYA,HUAMBOYA 1
1403,14,MORONA SANTIAGO,1403,LIMÓN INDANZA,ZONA 6,MORONA SANTIAGO,MÉNDEZ,LIMÓN,LIMÓN 1
1401,14,MORONA SANTIAGO,1401,MORONA,ZONA 6,MORONA SANTIAGO,MORONA,SEVILLA DON BOSCO,SEVILLA DON BOSCO 1
1404,14,MORONA SANTIAGO,1404,PALORA,ZONA 6,MORONA SANTIAGO,SANGAY,PALORA,PALORA 1
1406,14,MORONA SANTIAGO,1406,SUCÚA,ZONA 6,MORONA SANTIAGO,CENTRO SUR,SUCÚA,SUCÚA 1
1503,15,NAPO,1503,ARCHIDONA,ZONA 2,NAPO,TENA,ARCHIDONA,ARCHIDONA 1
1509,15,NAPO,1509,CARLOS JULIO AROSEMENA TOLA,ZONA 2,NAPO,TENA,AROSEMENA TOLA,AROSEMENA TOLA 1
1504,15,NAPO,1504,EL CHACO,ZONA 2,NAPO,EL VALLE DE QUIJOS,LINARES,LINARES 1
1501,15,NAPO,1501,TENA,ZONA 2,NAPO,TENA,PALANDACOCHA,PALANDACOCHA 1
2201,22,ORELLANA,2201,FRANCISCO DE ORELLANA,ZONA 2,ORELLANA,ORELLANA LORETO,DAYUMA,DAYUMA 1
2203,22,ORELLANA,2203,LA JOYA DE LOS SACHAS,ZONA 2,ORELLANA,LA JOYA DE LOS SACHAS,SACHAS,SACHAS 1
2204,22,ORELLANA,2204,LORETO,ZONA 2,ORELLANA,ORELLANA LORETO,PAYAMINO,PAYAMINO 1
1602,16,PASTAZA,1602,MERA,ZONA 3,PASTAZA,PASTAZA,SHELL MERA,SHELL MERA 1
1601,16,PASTAZA,1601,PASTAZA,ZONA 3,PASTAZA,PASTAZA,PUYO SUR,PUYO SUR 1
1702,17,PICHINCHA,1702,CAYAMBE,ZONA 2,PICHINCHA,CAYAMBE,CAYAMBE SUR,CAYAMBE SUR 2
1703,17,PICHINCHA,1703,MEJÍA,ZONA 2,PICHINCHA,RUMIÑAHUI - MEJÍA,ALÓAG,ALÓAG 1
1704,17,PICHINCHA,1704,PEDRO MONCAYO,ZONA 2,PICHINCHA,CAYAMBE,TABACUNDO,TABACUNDO 1
1709,17,PICHINCHA,1709,PUERTO QUITO,ZONA 2,PICHINCHA,NOROCCIDENTE,PUERTO QUITO NORTE,PUERTO QUITO NORTE 2
1701,17,PICHINCHA,1701,QUITO,ZONA 9,D.M. QUITO,QUITUMBE,TURUBAMBA,TURUBAMBA 6
1705,17,PICHINCHA,1705,RUMIÑAHUI,ZONA 2,PICHINCHA,RUMIÑAHUI - MEJÍA,SAN RAFAEL,SAN RAFAEL 1
2402,24,SANTA ELENA,2402,LA LIBERTAD,ZONA 5,SANTA ELENA,LIBERTAD SALINAS,5 DE JUNIO,5 DE JUNIO 1
2403,24,SANTA ELENA,2403,SALINAS,ZONA 5,SANTA ELENA,LIBERTAD SALINAS,SALINAS CENTRO,SALINAS CENTRO 3
2401,24,SANTA ELENA,2401,SANTA ELENA,ZONA 5,SANTA ELENA,SANTA ELENA,SANTA ELENA CENTRO,SANTA ELENA CENTRO 2
2302,23,STO DGO DE LOS TSÁCHILAS,2302,LA CONCORDIA,ZONA 4,STO DGO DE LOS TSÁCHILAS,LA CONCORDIA,MONTERREY,MONTERREY 1
2301,23,STO DGO DE LOS TSÁCHILAS,2301,SANTO DOMINGO,ZONA 4,STO DGO DE LOS TSÁCHILAS,SANTO DOMINGO ESTE,COLONIA VELASCO IBARRA,COLONIA VELASCO IBARRA 1
2102,21,SUCUMBÍOS,2102,GONZALO PIZARRO,ZONA 1,SUCUMBÍOS,SUCUMBÍOS,LUMBAQUI,LUMBAQUI 1
2101,21,SUCUMBÍOS,2101,LAGO AGRIO,ZONA 1,SUCUMBÍOS,LAGO AGRIO,LAS PALMERAS,LAS PALMERAS 2
2104,21,SUCUMBÍOS,2104,SHUSHUFINDI,ZONA 1,SUCUMBÍOS,SHUSHUFINDI,LA PRIMAVERA,LA PRIMAVERA 1
1801,18,TUNGURAHUA,1801,AMBATO,ZONA 3,TUNGURAHUA,AMBATO NORTE,SAN BARTOLOME DE PINLLO,SAN BARTOLOME DE PINLLO 1
1802,18,TUNGURAHUA,1802,BAÑOS DE AGUA SANTA,ZONA 3,TUNGURAHUA,BAÑOS,BAÑOS,BAÑOS 1
1805,18,TUNGURAHUA,1805,PATATE,ZONA 3,TUNGURAHUA,PATATE,PATATE,PATATE 3
1808,18,TUNGURAHUA,1808,SANTIAGO DE PÍLLARO,ZONA 3,TUNGURAHUA,PÍLLARO,PÍLLARO,PÍLLARO 1
1907,19,ZAMORA CHINCHIPE,1907,CENTINELA DEL CÓNDOR,ZONA 7,ZAMORA CHINCHIPE,PAQUISHA,ZUMBI,ZUMBI 1
1906,19,ZAMORA CHINCHIPE,1906,EL PANGUI,ZONA 7,ZAMORA CHINCHIPE,YANTZAZA,PANGUI,PANGUI 1
1905,19,ZAMORA CHINCHIPE,1905,YANTZAZA,ZONA 7,ZAMORA CHINCHIPE,YANTZAZA,YANTZAZA,YANTZAZA 2
